Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-16,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/3RBdpj,,Yes,,2023-02-16
2023-02-18,Superbad,2007,https://boxd.it/3S9eMV,5,Yes,,2023-02-18
2023-02-24,Kingsman: The Secret Service,2014,https://boxd.it/3TK9Eb,,Yes,w/ meagan,2023-02-23
2023-02-24,Kingsman: The Golden Circle,2017,https://boxd.it/3TK9Kt,,,w/ meagan,2023-02-23
2023-02-24,Phase IV,1974,https://boxd.it/3TSwd9,,,,2023-02-23
2023-03-09,The Lord of the Rings: The Return of the King,2003,https://boxd.it/3XtRq5,,Yes,,2023-03-08
2023-03-09,The Lord of the Rings: The Two Towers,2002,https://boxd.it/3XtROB,,Yes,,2023-03-08
2023-03-19,Ritual,2000,https://boxd.it/401mtD,5,,,2023-03-18
2023-03-20,Eureka,2000,https://boxd.it/40r07d,5,,,2023-03-19
2023-03-23,Inside,2023,https://boxd.it/41l96F,,,"w/ meagan, in theater",2023-03-23
2023-03-28,The Waterboy,1998,https://boxd.it/42GZZX,,,w/ lukas,2023-03-28
2023-03-30,John Wick: Chapter 4,2023,https://boxd.it/439tgJ,,,"in theater, w/ lukas",2023-03-29
2023-04-03,Finding Nemo,2003,https://boxd.it/448AK9,4.5,Yes,w/ meagan,2023-04-02
2023-04-03,John Wick,2014,https://boxd.it/44gkDH,3.5,Yes,,2023-04-02
2023-04-04,John Wick: Chapter 2,2017,https://boxd.it/44n1hr,4,Yes,,2023-04-03
2023-04-09,Bones and All,2022,https://boxd.it/45UUex,,,w/ meagan,2023-04-08
2023-04-12,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/46LwfH,,Yes,,2023-04-11
2023-04-13,Whiplash,2014,https://boxd.it/471sfZ,,Yes,w/ meagan,2023-04-12
2023-04-13,BEEF,2023,https://boxd.it/478csx,,,,2023-04-12
2023-04-14,Brüno,2009,https://boxd.it/47kDBl,,Yes,,2023-04-13
2023-04-17,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/48hsuL,,Yes,,2023-04-17
2023-04-22,Her,2013,https://boxd.it/49v7c9,5,Yes,,2023-04-22
2023-04-24,Game Night,2018,https://boxd.it/4a6VFJ,,,w/ meagan,2023-04-24
2023-04-25,TÁR,2022,https://boxd.it/4am2hT,,,,2023-04-24
2023-05-03,National Treasure,2004,https://boxd.it/4ciEnl,,Yes,,2023-05-02
2023-05-12,The Hunger Games: Catching Fire,2013,https://boxd.it/4eGRXd,,,w/ meagan,2023-05-11
2023-05-13,Memento,2000,https://boxd.it/4f1Smf,,,w/ meagan,2023-05-13
2023-05-13,Argo,2012,https://boxd.it/4f1SqV,,,,2023-05-13
2023-05-16,The Fly,1986,https://boxd.it/4fMlyr,,,,2023-05-15
2023-05-25,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4hSevl,,,"in theater, w/ meagan",2023-05-24
